Freq.	V(vo)
Step Information: Run=1  (Run: 1/10)
2.00909281260870e+001	(6.14913067462853e+000dB,-1.17538925592315e+000°)
2.01372424986236e+001	(6.14913710798161e+000dB,-1.17810006098973e+000°)
2.01836636368153e+001	(6.14914357101371e+000dB,-1.18081712379360e+000°)
2.02301917867824e+001	(6.14915006386165e+000dB,-1.18354045882054e+000°)
2.02768271952125e+001	(6.14915658666290e+000dB,-1.18627008059016e+000°)
2.03235701093619e+001	(6.14916313955558e+000dB,-1.18900600365596e+000°)
2.03704207770569e+001	(6.14916972267843e+000dB,-1.19174824260541e+000°)
2.04173794466950e+001	(6.14917633617082e+000dB,-1.19449681206003e+000°)
2.04644463672464e+001	(6.14918298017280e+000dB,-1.19725172667547e+000°)
2.05116217882553e+001	(6.14918965482501e+000dB,-1.20001300114162e+000°)
2.05589059598411e+001	(6.14919636026880e+000dB,-1.20278065018263e+000°)
2.06062991326997e+001	(6.14920309664610e+000dB,-1.20555468855709e+000°)
2.06538015581050e+001	(6.14920986409956e+000dB,-1.20833513105800e+000°)
2.07014134879101e+001	(6.14921666277245e+000dB,-1.21112199251292e+000°)
2.07491351745488e+001	(6.14922349280871e+000dB,-1.21391528778404e+000°)
2.07969668710366e+001	(6.14923035435294e+000dB,-1.21671503176828e+000°)
2.08449088309726e+001	(6.14923724755040e+000dB,-1.21952123939733e+000°)
2.08929613085401e+001	(6.14924417254703e+000dB,-1.22233392563777e+000°)
2.09411245585086e+001	(6.14925112948944e+000dB,-1.22515310549113e+000°)
2.09893988362349e+001	(6.14925811852492e+000dB,-1.22797879399400e+000°)
2.10377843976644e+001	(6.14926513980143e+000dB,-1.23081100621809e+000°)
2.10862814993326e+001	(6.14927219346760e+000dB,-1.23364975727033e+000°)
2.11348903983661e+001	(6.14927927967276e+000dB,-1.23649506229294e+000°)
2.11836113524847e+001	(6.14928639856694e+000dB,-1.23934693646352e+000°)
2.12324446200019e+001	(6.14929355030083e+000dB,-1.24220539499516e+000°)
2.12813904598268e+001	(6.14930073502584e+000dB,-1.24507045313647e+000°)
2.13304491314654e+001	(6.14930795289405e+000dB,-1.24794212617173e+000°)
2.13796208950220e+001	(6.14931520405829e+000dB,-1.25082042942091e+000°)
2.14289060112002e+001	(6.14932248867203e+000dB,-1.25370537823982e+000°)
2.14783047413050e+001	(6.14932980688948e+000dB,-1.25659698802015e+000°)
2.15278173472434e+001	(6.14933715886559e+000dB,-1.25949527418957e+000°)
2.15774440915263e+001	(6.14934454475594e+000dB,-1.26240025221182e+000°)
2.16271852372698e+001	(6.14935196471691e+000dB,-1.26531193758680e+000°)
2.16770410481966e+001	(6.14935941890557e+000dB,-1.26823034585064e+000°)
2.17270117886371e+001	(6.14936690747970e+000dB,-1.27115549257581e+000°)
2.17770977235312e+001	(6.14937443059781e+000dB,-1.27408739337118e+000°)
2.18272991184297e+001	(6.14938198841917e+000dB,-1.27702606388214e+000°)
2.18776162394952e+001	(6.14938958110374e+000dB,-1.27997151979067e+000°)
2.19280493535041e+001	(6.14939720881224e+000dB,-1.28292377681541e+000°)
2.19785987278479e+001	(6.14940487170613e+000dB,-1.28588285071179e+000°)
2.20292646305342e+001	(6.14941256994761e+000dB,-1.28884875727208e+000°)
2.20800473301886e+001	(6.14942030369962e+000dB,-1.29182151232550e+000°)
2.21309470960560e+001	(6.14942807312587e+000dB,-1.29480113173830e+000°)
2.21819641980018e+001	(6.14943587839080e+000dB,-1.29778763141386e+000°)
2.22330989065137e+001	(6.14944371965962e+000dB,-1.30078102729275e+000°)
2.22843514927027e+001	(6.14945159709831e+000dB,-1.30378133535288e+000°)
2.23357222283049e+001	(6.14945951087358e+000dB,-1.30678857160952e+000°)
2.23872113856830e+001	(6.14946746115293e+000dB,-1.30980275211543e+000°)
2.24388192378273e+001	(6.14947544810466e+000dB,-1.31282389296093e+000°)
2.24905460583574e+001	(6.14948347189780e+000dB,-1.31585201027403e+000°)
2.25423921215239e+001	(6.14949153270215e+000dB,-1.31888712022046e+000°)
2.25943577022094e+001	(6.14949963068835e+000dB,-1.32192923900382e+000°)
